PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40053818,The Impact of Stay-At-Home Mandates on Uncertainty and Sentiments: Quasi-Experimental Study.,2025-03-07,Falco J Bargagli-Stoffi,Department of Biostatistics,
40053759,Building and Developing a Tool (PANDEM-2 Dashboard) to Strengthen Pandemic Management: Participatory Design Study.,2025-03-07,Lem Ngongalah,Trilateral Research Ltd,
40053748,Opportunities and Challenges in Using Electronic Health Record Systems to Study Postacute Sequelae of SARS-CoV-2 Infection: Insights From the NIH RECOVER Initiative.,2025-03-07,Melissa Haendel,Department of Genetics,
40053737,"Publishing Identifiable Patient Photographs in the Digital Age: Focus Group Study of Patients, Doctors, and Medical Students.",2025-03-07,Marija Franka Žuljević; Ana Marušić,Department of Medical Humanities; Department of Research in Biomedicine and Health,
40053736,"Correction: Glycemic Control, Renal Progression, and Use of Telemedicine Phone Consultations Among Japanese Patients With Type 2 Diabetes Mellitus During the COVID-19 Pandemic: Retrospective Cohort Study.",2025-03-07,Makiko Mieno,Department of Medical Informatics,
40053716,"Global Evidence on the Sustainability of Telemedicine in Outpatient and Primary Care During the First 2 Years of the COVID-19 Pandemic: Scoping Review Using the Nonadoption, Abandonment, Scale-Up, Spread, and Sustainability (NASSS) Framework.",2025-03-07,Ankit Shanker; Daniel Opoku Mensah; Tahir Bockarie; Siti Aishah Ibrahim; Rachel Spencer; Jeremy Dale; Armina Paule,Warwick Medical School,
40053712,The Application of Preventive Medicine in the Future Digital Health Era.,2025-03-07,Katherine De la Torre,Department of Biomedical Sciences,
40053501,COVID-19-associated invasive fungal infections in intensive care unit patients during the first pandemic waves in Argentina: Results of a single center experience.,2025-03-07,Katherine Hermida Alava; Carolina Rodríguez Laboccetta; Agustín Videla Garrido; Víctor Fernández Briceño; Alejandro Nusblat; María Luján Cuestas,Universidad de Buenos Aires. Facultad de Farmacia y Bioquímica. Instituto de Nanobiotecnología (NANOBIOTEC). Buenos Aires; Universidad de Buenos Aires. CONICET. Instituto de Investigaciones en Microbiología y Parasitología Médica (IMPaM). Buenos Aires,
40053438,Interstitial Capillary Congestion and Diffuse Alveolar Damage: Incidental or Factual Findings in the Lungs of Autopsy Cases Positive for Coronavirus Disease-19.,2025-03-07,Preeti Agarwal; Shiuli Rathore; Anurag Singh; Poorvi Mathur; Anuragani Verma; Ravindra Kumar Garg; Anoop Kumar Verma; Amita Jain,Department of Microbiology; King George's Medical University,
40053316,Effectiveness of different anticoagulation regimens in critically ill patients - experience from COVID 19 patients.,2025-03-07,Ljiljana Arsenović; Aleksandra Ignjatović,Department of Medical Statistics and Informatics; Institute for Medical Biochemistry,
40053315,Interim analysis of the long-term efficacy and safety of azetukalner in an ongoing open-label extension study following a phase 2b clinical trial (X-TOLE) in adults with focal epilepsy.,2025-03-07,Martin J Brodie; Cynthia Harden; Jenny Qian; Constanza Luzon Rosenblut; Christopher Kenney; Gregory N Beatch,Xenon Pharmaceuticals Inc.; University Department of Medicine and Therapeutics,
40053140,In vitro inhibitory activity of indole alkaloid derivatives against porcine epidemic diarrhea virus.,2025-03-07,Shaoyong Ke,Hubei Biopesticide Engineering Research Centre,
40053033,"Factors associated with depression, anxiety, stress, PTSD, and fatigue of medical staff during the COVID-19 pandemic in Shanghai: a two-phase cross-sectional study.",2025-03-07,Xiaotong Li,Jiangxi Medical College,
40052887,Upregulation of MicroRNA-144 Suppresses Nrf2 Antioxidant Signaling Pathway in Patients with Severe COVID-19.,2025-03-07,Shiva Gholizadeh-Ghaleh Aziz; Shahriar Alipour,Urmia University of Medical Sciences,
40052886,Neutrophil Markers as Predictors of COVID-19 Severity at Hospital Admission: A Cross-sectional Study.,2025-03-07,Sara Iranparast,Ahvaz Jundishapur University of Medical Sciences,
40052819,Fluorogenic oligonucleotide cleavage probes with a branched linker improve RNA detection.,2025-03-07,Bruktawit Maru; Ayodele Edinboro; Nathan W Luedtke; Maureen McKeague,Department of Pharmacology and Therapeutics,
